image_id,prediction,ref1,ref2,ref3,ref4,ref5
370999,"The image features a collection of small, dark gray stones with holes in them, arranged around a US dime coin.",some little stones sitting around a dime,a quarter is surrounded by some rocks with holes,A dime sits in the middle of a group of stones.,A coin with a portrait and some rings on the table,A dime surrounded by a bunch of stones with holes in them
372203,"A bench and a streetlight sit on a concrete platform in the middle of a desert landscape, with mountains visible in the distance.",A wooden bench and a fire hydrant on a field.,A wooden bench sitting out in the middle of a desert.,a wood bench and post light on a sidewalk,"A bench, a fire hydrant, and a street light are in the desert.",A bench is next to a lamp post in the middle of a field.
372819,"A woman sits on a bench in a park, surrounded by three dogs running towards her.",Four smaller dogs are running away from the women on the bench.,A group of dogs running across a lush green field.,a number of dogs running in a field with people on a bench,A group of dogs that are standing in the grass.,A bunch of dogs running around in a field
374545,"A man in a white shirt and black pants is sitting on a bench in a park, with a large tree and a flagpole with an American flag in the background.",A flag is flying in a green grassy area.,A park setting on a sunny day with an American flag.,A flag pole with a large bird flying over it in a park.,A raised United States of America flag on a pole,A grassy field with pink flowers and a flag in the middle
375469,"A man and a woman are riding a surfboard on a wave in the ocean, with the man in the foreground and the woman behind him.",two people riding surf boards on a wave,Two surfers riding a wave back to shore.,Two people trying to surf on the ocean.,Two surfers are riding a wave on their surf boards.,Two individuals catching a wave surfing in the ocean.
376284,"The image depicts a city street scene with a fire hydrant, a row of parked cars, and a white bus in the background.",A fire hydrant and some cars on a street.,Fire hydrant and pylons on a city street corner.,fire hydrant on city street with several parked cars.,there is a fire hydrant surrounded by three metal poles,Cars are parked on the street next to an old fire hydrant.
376856,"The image depicts a tall, red brick tower with a clock face and arched windows, set against a blue sky with white clouds.",a tall church tower with a clock at the top,a big brick building with a clock at the top,A clock tower made of brick with vines growing up one side.,A clock is at the top of a tall brick building.,A clock is seen at the top of a very tall building.
377497,"The image depicts a zebra with a distinctive black and white striped coat, standing in a grassy field.",Horse with odd striped head and white body in a sanctuary.,A zebra with a striped face and pure white neck and mane.,"An animal with stripes like a zebra on it's head, and a white body.",a zebra but the everything after the head is pure white,"A zebra that only has a striped neck and face, the rest of it is white."
377946,"A yellow food truck is parked on the side of a city street, with a sign reading ""Pay at Muni-Meter"" visible in the background.",A yellow food truck parked close to a car,Yellow box truck parked on busy street in city.,a yellow food truck parked on the side of a city street,Catering truck parked tightly between cars on a city street.,A food tuck parallel parked along a street.
378515,"The image depicts a bustling outdoor market scene, with a woman sitting on the ground surrounded by an assortment of fresh produce, including bananas, leafy greens, and other vegetables.",A man kneeling down over piles of bananas.,People are crouched around in an open market.,a farmer's market filled with green bananas and people,An outdoor market place with a person shopping for bananas.,Vendors selling produce at an outside market.
379533,"A zebra is grazing in a field, with an elephant and its calf in the background.",A zebra grazing on a dry grass field next to elephants.,A zebra and elephants in a grassy area with sky in the background.,A zebra and two elephants are on a grassy field.,A zebra grazing in a field with elephants,a pregnant zebra eating grass close to two elephants
381587,A woman stands in the dining area at the table.,Several pictures of Asian style dishes and in the middle a person is eating.,Several pictures of food on a table at a restaurant.,A multitude of pictures of Asian cuisine.,a collage of photos with many plates of food,Assortment of finished meals displayed on a table.
382125,"A man and a woman sit at a table in a restaurant, with the man holding a slice of pizza on a plate.","Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",a person holding a slice of pizza next to someone else posing for a photo,The man smiles with a slice of pizza while next to a friend.,two men sitting at a table with one holding a plate with a slice of pizza on it,Two friends sitting at diner eating a slice of pizza.
383386,"The image depicts three teddy bears sitting on a white floor in front of a colorful rug, with one bear holding a green toy turtle.",a couple of stuffed bears are on a bed,Stuffed toy bear with rubber green turtle displayed next to chair.,Three teddy bears that are sitting next to each other.,These stuffed animals are decor on a bed,The three teddy bears sit with their arms around each other.
384136,"The image depicts a woman holding a hair dryer in her hand, with the background featuring a white door and a white wall.",A woman points a hair drier like it is a gun.,A woman is pointing and holding a hair dryer.,A young woman holding a hair dryer like a gun.,A woman brandishes a hair dryer with a suspicious look,A WOMAN IS HOLDING A HAIR DRYER IN HER HAND
384666,"The image depicts a group of children skiing down a snowy slope, with one child in the foreground wearing a pink jacket and holding ski poles.",A group of young children riding skis down a snow covered mountain.,A number of people skiing down ski slopes,A bunch of children skiing down a slope,There are some skiers heading down a slope,A picture of skiers skiing on the snow
385719,"The image depicts a cluttered room with a desk and computer setup, featuring two Apple computers, a laptop, and a mouse, surrounded by various objects such as books, a yellow Pikachu figurine, and a stack of CDs.",Laptop with computer monitors displayed on wooden desk.,Three computers are shown at the wooden desk.,a desktop setup with a laptop and two monitors,An office desk with two computer monitors and one laptop.,a desk with two monitors and a laptop on it
386912,"A woman sits at a desk in front of a computer monitor, with a bookshelf filled with books and other items behind her.",a person sitting at a desk with a keyboard and monitor,a woman at her desk sits intently and happy,A woman sitting at a desk in her work station,The woman is working on her computer at the desk.,a woman is sitting in front of a desk
388258,"A man in a white shirt and black pants stands in front of a large, dark-colored truck, with a small, white dog sitting on the ground next to him.","There is a bike that is parked by a bench, and an airplane that is high in the sky",The bike is parked next to the empty bench.,A bicycle leaning against a bench as an airplane flies by.,a cannondale bicycle leaning against a bench and an airplane in the background,An airplane flies by a bicycle leaned up against a bench
389381,"The image depicts a vibrant and colorful arrangement of various fruits and vegetables, including sliced apples, kiwis, grapes, figs, broccoli, and a persimmon, artfully arranged in a yellow container.",a bowl of different kinds of food on it,two dishes holding a bunch of vegetables and fruit,A colorful assortment of different fruits and vegetables.,"A plastic bento box filled with rice, vegetables and fresh fruit",One tray of rice and a tray of fruits and veggies.
390246,"A surfer rides a wave on a sunny day, with the ocean and sky visible in the background.",A surfer teeters on the top of a wave.,A man in wetsuit on surfboard riding a wave.,A man riding on top of a wave on a surfboard.,Person is riding a surfboard in the ocean.,a person riding a surf board on a wave
391375,"A woman sits on a bench in front of a stone wall, wearing a black hoodie and tights, with her legs crossed and her hands resting on the bench.",A girl sitting on a bench in front of a stone wall.,A woman in black sits on a park bench.,A woman sitting on a bench in a stone alcove.,A young woman in black spotted tights is sitting on a bench.,A beautiful woman sitting on a bench next to a stone building.
393014,"A sandwich with a red strawberry on the side sits on a piece of brown paper, accompanied by a sign advertising a ""Lq Coppa Panino"" for $5.00.",Several sandwiches sitting on a window display together.,A sandwich display and a sign at an eatery.,A display case shows off a sandwich with a sign,A display case holding a sandwich with meat and cheese.,A deli display case with sandwiches and strawberries.
393838,"The image depicts a stainless steel pot filled with chopped onions and carrots, situated on a gas stove.",A pot full of vegetables and ready to be cooked.,The pot on the stove has chopped vegetables in it.,A bunch of vegetables cooking in a pot.,There are diced vegetables inside a saucepan on top of the stove.,"A pan filled with celery, onions, and carrots."
394677,"A woman sits on a couch, holding a brown purse and wearing a plaid shirt and light blue jeans.",A person bent over sleeping in a chair next to others.,A person that has fallen asleep with a book bag on their lap,"A woman falling asleep next to a man, who are both sitting down.",A group of people sitting on top of a couch near a window.,A woman that has fallen asleep next to a man wearing a headset.
395801,"A woman in a red jacket sits on a bench, with a street scene unfolding in the background featuring a car, pedestrians, and buildings.",A street lined with cones with people up and down the sidewalk.,People are walking down the sidewalk in a city.,A woman sits on a bench as people walk down a sidewalk.,There are people walking down the street that is crowd,A woman waiting on a bench on the sidewalk as people go by.
396568,"A train is traveling along a track, with trees and a blue sky visible in the background.",An orange and black train with train cars passing trees.,An orange train is going down the tracks.,A train chugs along parallel to a lush forest.,a black and red train going down a track by some trees,A diesel locomotive hauling some freight through the countyside
397327,"A white toilet is situated in a small bathroom, accompanied by a white sink and a blue towel hanging on the wall.",A white bathroom is shown with a blue towel.,a sink and a toilet that is in a small bathroom,a toilet a cabinet a sink and a towel and toilet paper,A white toilet sitting next to a bathroom sink.,The bathroom has very white appliances in it.
398377,"The image depicts three women sitting on a bench in a public place, with one of them engaged in a phone conversation.",Three women sitting on a train seat on cellphones.,There are women that are talking on the cell phone,Commuters using their cell phones during a train ride,three females impatiently waiting. Two of them are on their cell phones,Group of women sitting down on a public train together.
399462,"A young girl in a striped shirt and jeans runs through a grassy field, holding a colorful kite.",A girl with a kite running in the grass.,A LITTLE GIRL IS RUNNING WITH HER KITE IN A OPEN FIELD,a little girl is running on the grass with a kite,A young girl running with a kite in a field.,A little girl laughs and runs with a kite in a grassy park.
400573,A man is eating a donut while wearing a gray hoodie and black-framed glasses.,A man biting into a doughnut with a sly look.,A man wearing glasses eating a donut.,there is a man wearing glasses and eating a donut,A man wearing glasses eating a glazed donut out of doors.,A man taking a bite of a doughnut while wearing glasses.
401862,"A group of people stand in line outside a red food truck with a window and a sign that reads ""Best of D.C.""",PEOPLE WAITING IN LINE TO GET FOOD FROM A FOOD TRUCK,People line up to buy food from a food truck.,people standing in line beside a food truck,People are lined up by a red food truck.,a line of food trucks and a group of people stand by
402519,"The image depicts a yellow bird perched on a tree branch, with its back facing the camera.",A small yellow bird on a small branch.,A bird perched on top of a brown tree branch.,A bird perched on a branch of a tree.,A yellow and red bird is sitting in a tree.,A BRIGHT COLORED BIRD IS SITTING ON A BRANCH OF A FULL TREE
403353,"A bed with a rumpled gray comforter and a book on it is situated in a dimly lit room, accompanied by a lamp and a nightstand.",A lamp sitting next to a small bed with a book on top of it.,A lamp shining light on a bed with a book on it.,A book sitting on a bed with a lamp next to it,"Bedside with lamp, large bound book, and humidifier.",A bedroom with a book on the bed
404479,"A commercial airliner is seen taking off from a runway, with a mountain range visible in the background.",A large jetliner sitting on top of an airport runway.,Japanese airliner just taking off with snow capped mountains in the background.,A passenger plane sits on a runway with mountains behind it.,An airplane landing on a runway in an airport,A large airplane is ascending from the runway.
404922,"A woman and two children walk down a sidewalk, with the woman carrying a tennis racket and the children holding their own rackets.",A woman and two kids walking with their tennis rackets.,an adult walking with two children holding tennis rackets,A mother with her two children holding tennis rackets.,"A woman, little girl and boy, walking with tennis rackets.",A woman walks with 2 kids holding tennis rackets.
405691,"A table is set with a red tablecloth, a bottle of wine, and a plate of bread, accompanied by two wine glasses and a bowl of salad in the background.","Glasses of wine, salad and french bread on a wooden table.","A table with dishes, wine glasses, and a wine bottle.",there is whine and bread on this table,A photo of a table at a nice restaurant with glasses of wine.,A table with breadsticks and three parcially filled glasses of wine and a wine bottle.
407002,"A man stands on a snowy slope, wearing a red jacket and holding a ski pole, with a mountain range visible in the background.",A man wearing snow gear poses for a photo while standing on skis,A man in red jacket on skis with trees in background.,Man on skies on snow covered slope area.,A person wearing a red coat and skis posing for a picture.,A person standing on skies in the snow on top of a mountain.
407646,"A man in a green shirt and black shorts is playing tennis, with a tennis ball in mid-air to his right.",A man playing tennis who is about to return a serve.,A tennis player sets his racket to hit the ball.,Tennis player swinging at tennis ball with racket,The look on the tennis player's face telegraphs a  possible error.,A man on a tennis court who has just hit the tennis ball
408696,"A man sits on a toilet in a cluttered room, surrounded by various objects such as a mop, a box, and a can.",A man sitting on a toilet that isn't connected to anything.,A man and woman in attic with vacuums and a toilet seat.,A man sits on top of a toilet.,A man sits on a broken toilet as people walk by.,A man sitting on a toilet in someone's house.
409475,"A man and a woman stand on a snowy mountain slope, with the woman wearing a blue jacket and white pants and the man wearing a brown jacket and black pants.",Two people standing next to each other on a ski slope.,A man and a woman standing in the snow on skis.,A smiling pair of skiers with a huge snow covered mountain behind them.,Two people on skis in front of ski lift.,A man and woman in ski gear standing in front of a mountain.
410496,A man in a white shirt and shorts is playing tennis on a clay court.,A man plays tennis during a competition while a crowd looks on.,A man on a court swinging a tennis racket.,A tennis player posed to swing his racket.,A man playing tennis getting ready to take a swing,A tennis player competes with a large crowd watching.
410934,"The image depicts a broccoli plant with large green leaves and a small head of broccoli, surrounded by a natural setting with grass and other vegetation.",A broccoli plant has very large leaves.,A broccoli plant growing in a garden is dwarfed by it's leaves.,Several green leaves grouped together as a plant.,A bunch of green leaves on a broccoli plant.,A small broccoli plant is shown growing among pine needles.
412240,"A small brown puppy is lying on a pair of shiny black leather shoes, with a colorful fabric or blanket draped over the top.",A dog sitting behind a pair of black shoes.,A dog sits on the floor next to some shoes.,A puppy is sitting behind a pair of shoes.,a close up of a small dog near a pair of shoes,A small black dog sits beside a pair of shoes.
413404,"A man and woman walk away from the camera, with the man wearing a black jacket and gray pants, and the woman wearing a yellow shirt and carrying a purse.",A park with lots of benches under trees.,a couple of park benches next to some trees,Two people stroll through a park with benches and a playground.,a park with benches and lots of trees.,Park benches with a brown fence in the background and trees overhead.
414385,"A man in a black shirt and white pants is skateboarding on a road, with a car driving behind him.",A man walking down a street next to a road filled with cars.,Man riding a skate board towards the traffic on a two lane roadway.,a road filled with cars in a desert,View from inside of a car of cars on road and a man on the side of the road.,A photo taken from a car looking at a skateboarder on the side of the road.
415536,"A bus is driving down a road in a wooded area, with trees and foliage on either side.",A bus is driving on a wet road with many green trees on the roadside.,A bus is traveling through a street surrounded by trees.,A red bus driving down the road with its lights on.,A city bus that is traveling down a wet country road.,A transit bus coming down a street with a large wooded side area.
416170,"The image depicts a cat sitting on a windowsill, gazing out at a serene garden scene.",A cat sitting in behind a window looking out.,a cat is sitting in a window that has a dirty exterior,"A cat perches itself near a window, looking outside.",An cat sits on the sill of a dilapidated window.,a black and white cat sitting by a window and looking outside
416758,"The image depicts a group of cows grazing in a lush green field, with one cow standing in the foreground and others lying down or walking in the background.",A herd of black and white cattle standing on a lush green hillside.,Four black and white cows are on grass.,Two black and white cows and two white cows grazing in the grass.,Several cows are gathered together in a grassy field.,A group of black and white spotted cows in green grass.
417465,"The image depicts a black bear with its tongue out, sitting on a log or rock, with its front paws resting on the surface.",An adult black bear let's his long tongue protrude.,A large black bear with a long tongue hanging out of it's mouth.,A bear sitting on a log with a really long tongue,A bear extends its long tongue while yawning,A sun bear yawns and extends its long tongue.
418696,"A large, red brick building with a white tower stands at the intersection of two streets, with a car driving down one street and a streetlight shining brightly in the background.",A street corner with a brown and white building on it.,a traffic light hanging from a wire above a street,an empty street with a building with a tower at the corner.,The bright lights are shining on the street.,A tall church tower sitting on the corner of a street.
419408,"A skateboarder performs a trick on a metal railing, with a woman sitting on a bench in the background.",A man riding a skateboard over a rope.,A skateboarder is attempting a trick mid air.,two skateboarders and one is doing a trick,A boy is skateboarding on a pole at a park.,The skateboarder is jumping over the railing in a park.
420472,"The image depicts two giraffes standing in front of a lush green background, with one giraffe eating leaves from a tree.",Two giraffes are eating a leafy branch together.,Two zebras eat a piece of a plant.,Two giraffes eating some crop during the day.,Two giraffe's fighting over a piece of food.,Two giraffes share a branch that they are eating
422670,"The image depicts a baby lying on a couch, with a person's hand visible in the foreground.",A small child is reaching for the camera.,a close up of a child on a couch,A baby is reaching up toward the camera.,A boy reaching towards his reflection in a mirror like object.,The little baby is reaching up with his hand.
423506,"A man in a green shirt and striped tie stands next to another man in a gray sweater and yellow tie, posing for a photo.",Two men smiling and taking a picture together.,"Two men standing next to one another, and both are smiling and wearing neckties.",Two men in ties smile at the camera,two men standing side by side and smiling,Two men with ties on smiling next to each other.
424349,"A man in a green shirt and white cap is placing a pizza into a large oven, with a woman in a white shirt standing nearby.",A man placing a pizza pie in the oven,A chef is pulling a pizza out of a pizza oven,A pizza chef putting a pizza in an oven in a professional kitchen.,people in kitchen taking a pizza out of an oven.,Two people in a commercial kitchen making pizza.
425221,"A plane is seen flying in the sky through a window, with a person standing in front of it.",A plane is flying away from the airport,A person at an airport terminal with planed in view outside of the windows.,A large terminal in a quiet airport hall.,A man waits in an airport terminal as planes take-off.,people in an air port waiting area
426166,A bicycle leans against a pole in front of a row of buildings with green doors and red walls.,A light blue bicycle chained to a pole on the sidewalk in front of a red building.,A bicycle near a pole in front of a building.,A bike is locked to a pole in front of a red building.,A bicycle is locked to a lamp post in front of an old building,A bicycle that is tied to a post along a sidewalk.
426376,"A snowboarder is seen in mid-air, with their arms raised and a trail of snow behind them, as they ride down a snowy slope.",A man riding a snowboard down the side of a snow covered slope.,A man snowboarding down the side of a snowy mountain.,Person snowboarding down a steep snow covered slope.,A person snowboards on top of a snowy path.,The person holds both hands in the air while snowboarding.
427338,"The image depicts a stone structure with a motorcycle parked in front of it, featuring a large archway and a staircase leading up to it.",A city made out of stone brick with large arches.,Two men are riding motorcycles through some ruins.,Person on motorcycle in a very scenic rock area.,A person riding a motorcycle in an abandoned stone building,a man taking a picture of a narrow walkway
428454,"A man in a green jacket and white pants is standing on a snowboard, with a red parachute flying in the air above him.",A Man skis using a sail in open snow-packed field.,A man on a snowboard para sailing in the snow.,A man on a snowboard using a parachute.,A guy standing on a snowboard in the snow.,A man is on a snow board with a kite.
429623,"A large pizza with various toppings, including mushrooms and peppers, sits on a table alongside a can of Pepsi and a sign advertising Adelina's Pizzeria.",A very large pizza on top of a pan on a table.,A big tasty looking pizza with some toppings and soda.,A pizza sitting in front of a can of pepsi,A large pizza and a soda sitting on a table.,The pizza is being served with a cold soda.
430377,"A woman stands on a snowy slope, wearing a gray and black jacket, blue pants, and black boots, with skis and ski poles in hand.",a lady that is on some skies on some snow,A woman standing on a  mountain with skis and poles.,A woman is standing in the snow wearing a pair of skis.,A woman on ski's standing in the snow.,A woman posing on skis with a ski lift in the background.
431693,"A man in a blue shirt and white shorts is playing tennis on an indoor court, with a racket in his right hand and a ball in mid-air.",there is a male tennis player trying to hit the ball,A person on a court with a tennis racket.,A man hitting a tennis ball with a racquet.,A man swinging a tennis racquet at a ball on a court.,A black man running towards the tennis ball with his racket.
432898,"A man stands in a grassy field, flying a kite with a long tail.",The man is flying his kite in the sky.,A man standing on a lush green field under a kite.,A an flying a kite in a field away from parked cars and other flying kites.,Man flying kite in open field near RV park.,A man is bluing a kite in an open area.
433774,"A parking meter stands on the grassy verge of a street, with a sidewalk and trees in the background.",A parking meter sitting next to a tall tree.,A dual parking meter near the grassy area of a residential area.,Two parking meters on roadside and a road sign,A black and white photo of two meters on a curb.,A street scene with a parking meter on the side.
434479,"A slice of pizza with a brown sauce and nuts is placed on a white plate, accompanied by two anime-style figurines with distinctive red hair and facial expressions.",THERE IS PIZZA ON THE PLATE ON THE TABLE,a slice of food with two doll figurines standing next to it,Two mini figurines sitting beside a plate with food.,Two Halloween characters next to a pizza on a table.,A slice of pizza covered in chocolate next to two dolls.
435299,"The image depicts a cat standing on a bed with a striped comforter, its tail raised in the air.",A cat leaning off of a bed looking at the floor,An orange cat sitting on top of a table.,An orange cat playing on the bed sheets.,An orange cat about to jump onto a tile floor from a bed.,The cat is perched on the edge of the bed.
437205,"The image depicts a young boy holding a peeled banana in his right hand, with a blue t-shirt featuring a cartoon character on it.",The young boy just finished eating the banana.,A smiling boy sitting on a couch holds a banana peel,A young boy who is eating a banana.,a close up of a child holding a banana,a small boy in a blue shirt holding a banana peel
438226,"A plate of pasta salad and a sandwich on a crusty roll sit on a wooden table, accompanied by a glass of beer and a napkin with a fork.",A sandwich on a plate cutin half next to pasta.,A dinner plate containing a sandwich and pasta.,A sandwich cut in half is on a plate with macaroni.,Sandwich and pasta salad with a drink for one,a sandwich on a plate on a desk near a glass of wine
439180,"A group of people on horseback, including a man in a red shirt and a woman in a pink shirt, ride through a grassy area with trees in the background.",A group of people riding horses down a small road.,People are riding their horses in the parade.,A group of people are riding horses at a park.,A large crowd of people riding horses walks along a trail.,A group of riders on horses in a field.
439773,"A baby lies on the floor, surrounded by a toy phone and other toys, with a stuffed animal and a toy car nearby.",A baby laying on a floor next to a purple cell phone.,A baby on the floor near a cell phone.,A LITTLE BABY IS LAYING ON THE FLOOR NEXT TO A CELL PHONE,a baby laying on a floor near a cell phone,A baby crawls on the floor beside a blue cell phone.
440508,"A train travels along a track, with a row of trees and bushes on one side and a gravel road on the other.",A long orange train traveling through a rural green countryside.,An orange train is on the track with many cars behind it.,Multiple orange train engines on tracks with trees on each side.,Orange train on tracks in the country side.,A long orange train is going between trees.
441553,"A group of people wait at a bus stop on a sidewalk next to a street, with a bus visible on the left side of the image.",A crows of people standing outside of a train.,A lot of people that are outside in the dark.,A crowd of people stand beside a train,people standing on a platform next to a train at night,A group of people standing on a sidewalk with a train going by.
442480,"The image depicts a small white airplane parked on a wet tarmac at night, with a large wing and a cockpit visible.",A turboprop airplane that is in the hangar for repair.,a twin propeller plane sits parked on a run way,THERE IS AN AIR PLANE THAT IS PARKED ON THE TARP,A prop plane parked at an airport with support vehicles around it.,an airplane parked in the dark on a runway
443498,"A bus is parked in a dimly lit garage or warehouse, with its front end facing the camera and a traffic cone positioned in front of it.",A large city bus driving down a street.,A public bus parked in a bus station at night.,A passenger bus drives through a street at night.,Black and white photo of a commuter bus in a warehouse,A bus parks behind a cone in a large building.
445439,"The image depicts a zebra standing in a field, its head bent down to graze on the ground.",A zebra grazing on dry hay next to a wire fence.,Zebra grazing in front of a chain link fence.,A zebra standing up next to a chain linked fence and eating grass that is on the ground.,A zebra is bent down eating some grass.,A zebra is eating dry grass next to a fence.
445999,A woman with long dark hair and a ring on her right hand is brushing her teeth with a toothbrush.,A woman brushes her teeth with foamy toothpaste.,"A woman with foam coming out of her mouth, brushing her teeth.",A pretty young dark haired girl brushing her teeth.,A woman standing up brushing her teeth with a toothbrush.,A girl brushing her teeth in a black and white photo.
446703,"The image depicts a brown teddy bear lying on its back, with its head turned to the left and its legs bent at the knees, resting on a dark gray carpet or rug.",A teddy bear under some furniture that appears to be turned on it's side.,"A teddy bear from the back on the floor lying on its side, under a table on side, by a brick wall.",A brown stuffed animal laying on a piece of wood furniture.,A teddy bear inside of a wooden frame.,Teddy bear on the floor in an up ended table.
447465,"A skier in a red and blue striped suit stands at the starting gate, with a second skier in the background.",Skiers line up for the starting gate at a race.,A skier getting ready to go out the gate.,a person on skis with ski poles standing at the top of a hill,A person on skis standing behind a starting gate.,Skiers coming out of a building in ski attire.
448365,"A young boy is skateboarding on a ramp, wearing a white t-shirt and yellow shorts.","Youngster on a skateboard, trying simple tip up stunt.",Young skateboarder displaying skills on sidewalk near field.,A person on a skateboard on a street.,A young boy is performing tricks on a skateboard.,a little boy that is jumping a skateboard
449432,"A group of people in military uniforms stand in front of a blue bus with yellow stripes, with one person in a green camouflage uniform standing nearby.",A group of people in uniforms stand in formation next to a bus,A group of people in military uniform stand outside a bus.,Young servicemen and servicewomen stand next to a blue bus with luggage.,People in uniform standing in front of a bus.,military people getting off and on the train.
450202,A charcuterie board with cured meats and cheeses is accompanied by three wine glasses on a wooden table.,A plate filled with food sitting next to three glasses.,A plate of meats and cheese's next to three wine glasses.,A table displaying wine glasses and a platter of assorted meats and cheeses.,A white plate containing sliced ham and cheese sitting on a table next to wine glasses.,The wine has been poured and ready to drink
451043,"A snowboarder in a blue snowsuit and black helmet is riding down a snowy slope, surrounded by trees.",A person in the heavy snow on a snowboard.,A little boy riding skis down the side of a snow covered slope.,A skier in the snow in a wooded area.,a person snow skiing down a mountain  between trees,A person skiing down a hill with goggles on.
451571,"A plate of food, including a grilled corn on the cob and a dish with a variety of toppings, sits on a grassy surface.",A HALD EATEN CORN AND A SANDWICH ON THE PLAE,Meal with corn on the cob placed on a plate.,a piece of eaten corn next to a bunch of mixed veggies,A close up of a corn on the cob that has been eating.,A plate topped with a half eaten corn cob and meat.
452784,"A person is washing a large orange bowl containing a pile of green vegetables, including broccoli and leafy greens.",A plate of food that includes lentils and leafy greens.,a person washing something under the running water of a faucet next to a bowl of greens.,The cook is rinsing a draining the greens at her kitchen sink.,a big orange bowl full of assorted veggies with hands above it,A person washing their hands near a bowl of broccoli.
453584,"A red bench with the Coca-Cola logo is situated in front of a building with a glass door and a sign that reads ""Café"".",A red bench on a slanted floor has the Coca-Cola symbol on it.,A very cute small red bench by some tall stools.,"What appears to be a beach-side eatery has an outdoor area with a metal railing and high stools, the whole of which rests on a tilted walkway with a sign and  a bench with a logo on it.",A sidewalk scene with focus on a red bench.,A red bench that is sitting on a sidewalk.
454404,"A woman sits on a bench in front of a pink wall, wearing a blue shirt and black pants, with her legs crossed and her hands clasped together.",A woman wearing a blue t-shirt while looking at her cell phone and sitting on a bench next to a bright pink wall.,A girl sits on the bench with one foot up.,A girls sits on a bench while looking at her phone.,A lady is sitting on a bench barefooted while using her phone.,Young girl sitting on a bench checking her cell phone.
455267,"A large wok filled with a savory mixture of broccoli, meat, and vegetables sits on a black electric stove, set against a wooden countertop.",a wok on a stove cooking some food,A skillet filled with a bunch of vegetables being cooked.,A wok with a cooked broccoli meal in it.,The vegetables are cooking in the skillet on the stove.,A picture of some food in the kitchen.
455872,"The image depicts a docked boat and a large building with a sign reading ""Norton Shipyard"" in the background.",A black and white image of a shipyard with some boats.,Several old boats sitting in an old ship yard.,A pier with various boats and ships parked.,A black and white photo of a shipyard.,Black and white photo of an old dock with low water.
456496,"A woman sits on a concrete ledge, surrounded by pigeons, with the Eiffel Tower visible in the background.",A woman sitting in front of the Eiffel tower near pigeons.,"A woman sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind.",A man sitting on cement by some birds,a woman seated on wall and birds besides her,A woman is sitting near a prominent landmark.
457884,"The image depicts a group of children playing baseball on a field, with one child in the foreground wearing a baseball glove and stretching their arm upwards.",A group of kids playing a game of baseball.,Three children are playing baseball outside in a field.,a child catching a ball at the ball park,The young boys are playing a game of baseball in the park.,A boy trying to catch a ball at a little league game
458663,"A kitchen with a sink, stove, and cabinets is visible, featuring a window with a view of a patio area with a red umbrella.",Modern kitchen with dinning area and all wood flooring.,A kitchen and dining room with an ocean side view.,a sink that has a stove and a sink,A photo looking into a kitchen and dining room with many blue accents.,A kitchen with a metallic stove top sitting  under a window.
459272,"A woman with dark hair and a yellow scarf stands in a field, holding a cell phone in her hand.",A woman holding a smart phone next to a group of people.,A women wearing a scarf using her cell phone,A woman holding a cell phone and standing in a littered field with others.,A woman in yellow scarf holding a cellphone.,A person on her cell phone in a large crowd of people.
459809,"The image depicts a serene scene of a large body of water, with a distant bridge spanning across it, set against a clear blue sky.",A shot of the blue water with people flying a kite.,"A kite flying in a beach setting, with people underneath it.",A group of people fly kites in the air.,A group of people flying a kite on the water.,A kite is flying over the water of a bay.
460379,"The image depicts three giraffes standing in a grassy area, with one giraffe facing the camera and the other two grazing or walking away from it.","Two Giraffes are in the wilderness, possibly eating.",Giraffes stand in a field surrounded by woods in a zoo.,Some giraffes walking around on grass by trees.,three adult giraffes in a field among trees,A bunch of giraffes on a grassy field during the day.
461009,"A man in a brown shirt holds up a yellow fruit, possibly an apple, in front of a blurred background.",A man holding an apple between his fingers.,guy sitting down holding a peach between fingers,A man holding a ball in his hand in a room.,A man is holding fruit between his fingers.,a picture of a guy holding an apple
462576,"A plate of scrambled eggs, corned beef hash, and orange slices sits on a table alongside a glass of orange juice and a plate of biscuits.",a plate of breakfast food sits on a table,A plate of food and a glass of orange juice.,"Breakfast sits on the table, with eggs, hash brown and roll.",Two plates of breakfast food and a glass of juice.,Breakfast items including juice are on the table.
463174,"A woman in a white shirt and pink patterned leggings is playing tennis, with a tennis racket in her right hand and a tennis ball in mid-air.",A young woman in pink leggings playing tennis,A tennis player hits the tennis ball with her racket,A woman hitting a tennis ball with a tennis racquet.,A woman hits the tennis ball during a match.,a tennis player swinging a racket at a ball
463690,"A man in a black shirt and shorts is lying on the ground, playing with a soccer ball.",The man is lying on the sidewalk with one leg in the air.,A man is laying down in a pavement balancing a ball on his foot while others watch.,A man laying on the street playing with a soccer ball while people look on,A man laying on his back while kicking a soccer ball.,A man balancing a soccer ball on his foot.
464251,"A red bird with a black head and white beak perches on a wooden railing, surrounded by green leaves.",A small red bird perched by a wooden flower box,a red and black bird perched on a rail,A bird is sitting on a railing next to a potted plant.,a red bird pirched on a wooden ledge,a nice bird standing on a bench gazing at
