,score1,score2,score3,score4,score5,score_mean
585,0.85,0.85,0.7,0.9,0.7,0.7999999999999999
587,0.6,0.7,0.7,0.8,0.7,0.7000000000000001
588,0.6,0.85,0.7,0.7,0.3,0.6299999999999999
589,0.8,0.7,0.3,0.5,0.7,0.6
590,0.8,0.8,0.7,0.7,0.8,0.7599999999999999
591,0.9,0.7,0.7,0.5,0.7,0.7000000000000001
592,0.6,0.5,0.7,0.7,0.7,0.64
593,0.7,0.2,0.7,0.85,0.6,0.61
594,0.9,0.8,0.8,0.7,0.9,0.8200000000000002
595,0.2,0.5,0.7,0.8,0.5,0.54
596,0.9,0.5,0.7,0.7,0.8,0.7199999999999999
597,0.5,0.5,0.9,0.5,0.5,0.58
598,0.5,0.7,0.8,0.9,0.7,0.7199999999999999
600,0.9,0.8,0.8,0.9,0.9,0.86
601,0.9,0.7,0.7,0.5,0.5,0.66
602,0.8,0.7,0.7,0.7,0.7,0.7200000000000001
603,0.9,0.6,0.7,0.7,0.8,0.7400000000000001
604,0.8,0.7,0.7,0.7,0.5,0.68
605,0.9,0.5,0.7,0.9,0.8,0.7599999999999999
606,0.5,0.85,0.9,0.7,0.5,0.6900000000000001
607,0.8,0.7,0.7,0.8,0.5,0.7000000000000001
608,0.5,0.5,0.3,0.5,0.7,0.5
609,0.8,0.85,0.8,0.7,0.7,0.7700000000000001
610,0.8,0.8,0.7,0.8,0.8,0.7799999999999999
611,0.7,0.3,0.5,0.5,0.7,0.54
612,0.3,0.2,0.7,0.8,0.5,0.5
614,0.5,0.5,0.5,0.5,0.5,0.5
615,0.7,0.7,0.8,0.7,0.8,0.7400000000000001
616,0.7,0.7,0.7,0.8,0.7,0.7199999999999999
617,0.7,0.8,0.7,0.9,0.7,0.7599999999999999
618,0.7,0.5,0.5,0.8,0.8,0.66
620,0.85,0.8,0.8,0.8,0.5,0.75
621,0.9,0.8,0.9,0.7,0.9,0.84
622,0.7,0.5,0.5,0.7,0.6,0.6
623,0.7,0.9,0.5,0.8,0.7,0.7200000000000001
624,0.8,0.7,0.8,0.5,0.8,0.7199999999999999
625,0.5,0.85,0.8,0.8,0.9,0.77
626,0.3,0.3,0.2,0.3,0.9,0.39999999999999997
629,0.9,0.8,0.9,0.8,0.5,0.7800000000000001
630,0.9,0.9,0.8,0.8,0.7,0.8200000000000002
631,0.9,0.5,0.8,0.9,0.6,0.7400000000000001
633,0.8,0.8,0.9,0.9,0.8,0.84
634,0.7,0.5,0.2,0.7,0.3,0.4799999999999999
635,0.8,0.7,0.7,0.8,0.7,0.7400000000000001
636,0.7,0.7,0.5,0.8,0.7,0.68
637,0.7,0.8,0.7,0.7,0.8,0.7400000000000001
638,0.7,0.7,0.2,0.8,0.8,0.64
639,0.5,0.5,0.7,0.6,0.5,0.5599999999999999
640,0.3,0.7,0.5,0.3,0.5,0.45999999999999996
641,0.9,0.9,0.9,1.0,0.95,0.93
642,0.8,0.7,0.7,0.7,0.5,0.68
643,0.85,0.85,0.7,0.7,0.9,0.7999999999999999
644,0.8,0.9,0.8,0.9,0.9,0.86
645,0.9,0.9,0.9,0.9,0.8,0.88
646,0.8,0.9,0.9,0.9,0.9,0.88
647,0.9,0.7,0.7,0.9,0.8,0.7999999999999999
649,0.9,0.9,0.8,0.9,0.7,0.84
650,0.5,0.7,0.7,0.7,0.5,0.62
651,0.8,0.5,0.9,0.9,0.7,0.7599999999999999
652,0.8,0.7,0.7,0.7,0.7,0.7200000000000001
653,0.7,0.6,0.9,0.7,0.5,0.6799999999999998
654,0.7,0.8,0.9,0.8,0.9,0.8200000000000002
655,0.8,0.85,0.7,0.3,0.9,0.7099999999999999
656,0.7,0.5,0.7,0.5,0.8,0.64
657,0.7,0.3,0.5,0.5,0.2,0.44
658,0.8,0.8,0.7,0.8,0.8,0.7799999999999999
659,0.7,0.8,0.7,0.8,0.9,0.7799999999999999
660,0.7,0.9,0.7,0.7,0.7,0.7400000000000001
661,0.9,0.9,0.9,0.8,1.0,0.9
663,0.7,0.7,0.8,0.8,0.7,0.7400000000000001
664,0.7,0.9,0.7,0.7,0.7,0.7400000000000001
666,0.8,0.8,0.8,0.8,0.7,0.7800000000000001
667,0.6,0.8,0.9,0.7,0.5,0.7000000000000001
668,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
669,0.9,0.8,0.8,0.7,0.8,0.7999999999999999
670,0.7,0.5,0.7,0.5,0.6,0.6
671,0.6,0.5,0.6,0.7,0.5,0.5800000000000001
672,0.9,0.7,0.5,0.2,0.25,0.5100000000000001
674,0.8,0.7,0.7,0.7,0.5,0.68
675,0.5,0.3,0.7,0.2,0.7,0.48
676,0.9,0.9,0.9,0.9,0.7,0.86
677,0.7,0.5,0.8,0.85,0.8,0.7300000000000001
678,0.5,0.7,0.8,0.9,0.7,0.7199999999999999
679,0.9,0.9,0.9,0.9,0.9,0.9
680,0.7,0.5,0.8,0.5,0.5,0.6
681,0.8,0.7,0.8,0.8,0.5,0.7199999999999999
682,0.7,0.7,0.7,0.8,0.9,0.7599999999999999
683,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
684,0.2,0.5,0.5,0.3,0.7,0.44
685,0.9,0.8,0.8,0.7,0.9,0.8200000000000002
686,0.7,0.7,0.8,0.7,0.7,0.7200000000000001
687,0.5,0.5,0.7,0.8,0.8,0.66
688,0.8,0.8,0.9,0.8,0.8,0.82
689,0.9,1.0,0.8,0.7,0.7,0.8200000000000002
690,0.5,0.7,0.5,0.5,0.5,0.54
691,0.7,0.7,0.6,0.7,0.5,0.64
692,0.7,0.5,0.7,0.8,0.7,0.68
693,0.5,0.5,0.9,0.7,0.7,0.66
694,0.7,0.7,0.8,0.7,0.7,0.7200000000000001
695,0.5,0.3,0.5,0.2,0.5,0.39999999999999997
697,0.9,0.3,0.9,0.7,0.9,0.7399999999999999
698,0.5,0.85,0.7,0.5,0.7,0.65
699,0.5,0.3,0.5,0.7,0.5,0.5
700,0.9,0.9,0.9,0.9,0.85,0.89
701,0.8,0.7,0.9,0.7,0.8,0.7799999999999999
702,0.5,0.3,0.5,0.5,0.6,0.48
703,0.8,1.0,0.9,0.8,0.5,0.7999999999999999
704,0.8,0.7,0.3,0.3,0.7,0.5599999999999999
705,0.6,0.5,0.8,0.7,0.7,0.66
706,0.7,0.7,0.5,0.5,0.7,0.62
708,0.7,0.9,0.7,0.9,0.9,0.82
709,0.5,0.7,0.7,0.5,0.7,0.62
710,0.2,0.8,0.7,0.7,0.9,0.66
711,0.8,0.7,0.9,0.5,0.7,0.7199999999999999
712,0.9,0.5,0.7,0.3,0.7,0.62
713,0.7,0.8,0.7,1.0,0.5,0.7400000000000001
714,0.8,0.7,0.9,0.8,0.9,0.8200000000000002
715,0.7,0.5,0.8,0.8,0.8,0.7199999999999999
716,0.7,0.7,0.7,0.7,0.8,0.7199999999999999
718,0.9,0.9,0.9,0.9,0.8,0.88
719,0.5,0.5,0.7,0.8,0.7,0.64
720,0.9,0.7,0.7,0.7,0.7,0.7400000000000001
721,0.2,0.5,0.7,0.3,0.3,0.39999999999999997
722,0.3,0.7,0.5,0.5,0.5,0.5
724,0.7,0.8,0.7,0.9,0.5,0.7200000000000001
725,0.7,0.7,0.7,0.8,0.7,0.7199999999999999
726,0.7,0.8,0.7,0.7,0.3,0.64
727,0.7,0.8,0.7,0.5,0.7,0.68
728,0.3,0.7,0.5,0.3,0.3,0.42
729,0.8,0.7,0.7,0.7,0.9,0.7600000000000001
730,0.7,0.7,0.8,0.8,0.8,0.7599999999999999
731,0.8,0.2,0.5,0.8,0.7,0.6
732,0.6,0.3,0.7,0.8,0.8,0.64
733,0.5,0.6,0.5,0.3,0.3,0.44
734,0.7,0.7,0.7,0.8,0.8,0.7399999999999999
735,0.7,0.3,0.7,0.7,0.7,0.62
736,0.6,0.8,0.5,0.5,0.7,0.62
737,0.7,0.7,0.7,0.8,0.8,0.7399999999999999
738,0.7,0.7,0.5,0.5,0.7,0.62
739,0.8,0.7,0.9,0.9,0.9,0.84
740,0.7,0.5,0.5,0.5,0.7,0.5800000000000001
741,0.7,0.5,0.8,0.9,0.5,0.68
742,0.8,0.7,0.8,0.8,0.7,0.7599999999999999
743,0.7,0.7,0.8,0.9,0.7,0.7599999999999999
745,0.7,0.7,0.9,0.3,0.2,0.5599999999999999
746,0.7,0.5,0.3,0.7,0.6,0.56
747,0.9,0.8,0.7,0.8,0.7,0.7800000000000001
748,0.7,0.7,0.6,0.7,0.85,0.7100000000000001
749,0.5,0.7,0.5,0.7,0.7,0.62
751,0.8,0.7,0.8,1.0,0.8,0.82
752,0.7,0.7,0.9,0.7,0.8,0.7599999999999999
753,0.9,0.7,0.9,0.8,0.7,0.7999999999999999
754,0.85,1.0,0.9,0.8,0.8,0.87
755,0.7,0.85,0.8,0.7,0.1,0.63
757,0.7,0.8,0.7,0.7,0.7,0.7200000000000001
758,0.7,0.8,0.5,0.6,0.8,0.68
759,0.9,0.7,0.7,0.9,0.9,0.82
760,0.8,0.5,0.7,0.7,0.7,0.68
761,0.8,0.5,0.9,0.7,0.8,0.7400000000000001
762,0.3,0.85,0.7,0.7,0.7,0.65
763,0.7,0.9,0.8,0.9,0.9,0.84
764,0.8,0.8,0.8,0.8,0.8,0.7999999999999999
765,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
766,0.8,0.8,0.8,0.5,0.8,0.7400000000000001
768,1.0,0.8,0.9,0.8,0.9,0.88
769,0.7,0.5,0.7,0.7,0.7,0.66
770,0.7,0.7,0.7,0.5,0.5,0.62
771,0.7,0.85,0.8,0.8,0.8,0.7899999999999999
772,0.5,0.7,0.7,0.7,0.5,0.62
773,0.7,0.85,0.7,0.8,0.8,0.7699999999999999
774,0.9,0.9,1.0,0.5,0.9,0.84
775,0.8,0.8,0.7,0.9,0.7,0.7799999999999999
776,0.8,0.8,0.7,0.7,0.7,0.7400000000000001
778,0.7,0.7,0.9,0.8,0.7,0.7599999999999999
779,0.9,0.9,0.9,0.9,0.9,0.9
781,0.9,0.8,0.9,0.9,1.0,0.9
783,0.7,0.7,0.5,0.85,0.85,0.7200000000000001
784,0.5,0.5,0.5,0.7,0.7,0.5800000000000001
786,0.9,0.9,0.8,1.0,1.0,0.9199999999999999
787,0.7,0.5,0.9,0.9,0.6,0.7200000000000001
789,0.7,0.85,0.5,0.9,0.8,0.75
790,0.7,0.9,0.5,0.3,0.7,0.62
791,0.5,0.7,0.5,0.9,0.6,0.64
792,0.5,0.9,0.7,0.8,0.7,0.7199999999999999
793,0.2,0.7,0.9,0.8,0.8,0.6799999999999998
795,0.7,0.8,0.9,0.7,0.9,0.7999999999999999
796,0.6,0.7,0.9,0.5,0.7,0.6799999999999998
797,0.8,0.9,0.8,0.7,0.7,0.7800000000000001
798,0.7,0.2,1.0,0.8,0.8,0.7000000000000001
799,0.8,0.7,0.7,0.5,0.7,0.68
800,0.9,0.7,0.8,0.8,0.7,0.7800000000000001
801,0.9,0.5,0.7,0.7,0.9,0.7399999999999999
802,0.5,0.7,0.5,0.7,0.7,0.62
803,0.3,0.3,0.2,0.7,0.7,0.44
804,0.3,0.7,0.3,0.5,0.3,0.42
805,0.8,0.8,0.8,0.9,0.85,0.8300000000000001
806,0.7,0.5,0.5,0.7,0.5,0.58
808,0.5,0.5,0.5,0.3,0.5,0.45999999999999996
809,0.8,0.8,0.8,0.7,0.7,0.7600000000000001
810,0.6,0.7,0.5,0.5,0.9,0.64
811,0.8,0.7,0.9,0.7,0.9,0.7999999999999999
812,0.7,0.8,0.6,0.7,0.7,0.7000000000000001
813,0.75,0.7,1.0,0.75,0.5,0.7400000000000001
814,0.9,0.3,0.3,0.3,0.8,0.52
815,0.8,0.8,0.7,0.8,0.7,0.7599999999999999
816,0.7,0.5,0.5,0.5,0.5,0.54
818,0.7,0.9,0.9,0.85,0.7,0.8099999999999999
819,0.7,0.7,0.7,0.5,0.9,0.6999999999999998
820,0.5,0.5,0.7,0.7,0.85,0.65
821,0.7,0.85,0.8,0.7,0.8,0.7699999999999999
822,0.7,1.0,0.5,0.8,0.7,0.7400000000000001
823,0.9,0.7,0.7,0.8,1.0,0.82
824,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
825,0.8,0.7,0.8,0.5,0.7,0.7000000000000001
826,0.7,0.9,0.9,0.8,0.9,0.84
827,0.7,0.8,0.5,0.7,0.6,0.66
828,0.7,0.7,0.8,0.7,0.8,0.7400000000000001
829,0.5,0.5,0.5,0.7,0.2,0.48000000000000004
830,0.5,0.8,0.7,0.9,0.8,0.7400000000000001
831,0.8,0.8,0.7,0.7,0.7,0.7400000000000001
832,0.9,0.8,0.9,0.8,0.7,0.8200000000000002
833,0.5,0.7,0.7,0.7,0.7,0.66
834,0.85,0.8,0.5,0.9,0.85,0.7799999999999999
835,0.7,0.9,0.7,0.7,0.8,0.7599999999999999
837,0.9,0.8,0.85,0.9,0.9,0.8700000000000001
838,0.8,0.9,0.8,0.9,1.0,0.88
839,0.6,0.7,0.9,0.9,0.9,0.7999999999999999
840,0.7,0.7,0.7,0.8,0.9,0.7599999999999999
841,0.8,1.0,0.8,0.8,0.8,0.84
842,1.0,0.85,0.7,0.3,0.7,0.71
843,0.5,0.7,0.8,0.7,0.5,0.64
845,0.7,0.7,0.5,0.7,0.6,0.64
846,0.6,0.85,0.5,0.7,0.7,0.6699999999999999
849,0.8,0.2,0.7,0.7,0.8,0.64
850,0.7,0.8,0.7,0.7,0.8,0.7400000000000001
851,0.8,0.9,0.5,0.5,0.8,0.7000000000000001
852,0.8,0.7,0.7,0.7,0.7,0.7200000000000001
853,0.5,0.7,0.7,0.8,0.8,0.7000000000000001
854,0.7,0.8,0.7,0.7,0.8,0.7400000000000001
855,0.7,0.7,0.7,0.7,0.9,0.7399999999999999
856,0.7,0.9,0.9,0.9,0.7,0.82
858,0.85,0.7,0.7,0.8,0.7,0.75
859,0.8,0.7,0.7,0.8,0.7,0.7400000000000001
860,0.7,0.85,0.9,0.7,0.8,0.7899999999999999
862,1.0,0.7,0.85,0.9,0.7,0.83
865,0.5,0.8,0.7,0.5,0.5,0.6
866,0.5,0.5,0.7,0.6,0.7,0.6
867,0.9,0.9,0.8,0.8,0.8,0.84
868,0.8,0.5,0.5,0.7,0.8,0.66
869,0.8,0.8,0.3,0.9,0.5,0.66
871,0.7,0.5,0.5,0.7,0.7,0.62
872,0.9,0.8,0.5,0.5,0.7,0.68
874,0.3,0.3,0.5,0.7,0.5,0.45999999999999996
875,0.5,0.5,0.7,0.7,0.7,0.62
876,0.9,0.9,0.7,0.9,0.7,0.82
877,0.7,0.7,0.5,0.7,0.7,0.66
880,0.9,0.9,0.9,0.9,0.9,0.9
881,0.7,1.0,0.8,0.9,0.8,0.84
882,0.3,0.3,0.2,0.3,0.7,0.36000000000000004
883,0.5,0.7,0.8,0.7,0.7,0.68
885,0.7,0.5,0.7,0.7,0.5,0.62
886,0.7,0.5,0.3,0.6,0.5,0.52
887,0.9,0.9,0.85,0.8,0.7,0.8300000000000001
888,0.7,0.3,0.7,0.7,0.7,0.62
889,0.3,0.5,0.7,0.7,0.7,0.5800000000000001
890,0.8,0.7,0.9,0.9,0.8,0.82
891,0.8,0.7,0.5,0.3,0.7,0.6
892,0.7,0.7,0.3,0.7,0.5,0.58
893,0.3,0.5,0.7,0.8,0.8,0.62
894,0.8,0.7,0.7,0.7,0.9,0.7600000000000001
895,0.5,0.7,0.5,0.5,0.7,0.5800000000000001
897,0.7,0.9,0.8,1.0,0.8,0.84
898,0.8,0.7,0.5,0.9,0.7,0.7199999999999999
901,0.5,0.3,0.3,0.2,0.25,0.31
903,1.0,0.9,0.9,0.8,0.8,0.8799999999999999
905,0.7,0.7,0.7,0.8,0.7,0.7199999999999999
908,0.7,0.8,0.7,0.9,0.5,0.7200000000000001
909,0.9,0.7,0.9,0.5,0.8,0.7599999999999999
911,0.9,0.5,0.8,0.5,0.8,0.7000000000000001
912,0.8,0.7,0.8,0.7,0.7,0.7400000000000001
914,0.9,0.5,0.9,0.8,0.5,0.7199999999999999
915,0.85,0.8,0.5,0.8,0.7,0.7300000000000001
916,0.5,0.5,0.8,0.2,0.7,0.54
917,0.7,0.7,0.9,0.7,0.9,0.7799999999999999
918,0.8,0.7,0.5,0.7,0.7,0.68
919,0.7,0.5,0.3,0.5,0.8,0.5599999999999999
921,0.9,0.7,0.7,0.8,0.7,0.7599999999999999
922,0.7,0.9,0.8,0.8,0.8,0.7999999999999999
923,0.5,0.3,0.7,0.2,0.5,0.44
924,0.8,0.7,0.7,0.8,0.7,0.7400000000000001
925,0.7,0.7,0.8,0.5,0.7,0.68
926,0.8,0.7,0.8,0.9,0.5,0.7399999999999999
927,0.7,0.6,0.7,0.8,0.7,0.7000000000000001
928,0.5,0.5,0.8,0.7,0.7,0.64
930,0.8,0.8,0.9,0.8,0.8,0.82
933,0.7,0.8,0.7,0.6,0.9,0.7400000000000001
934,0.8,0.5,0.9,0.9,0.85,0.79
936,1.0,0.7,0.7,0.7,0.2,0.66
937,0.9,0.7,0.9,0.5,0.8,0.7599999999999999
939,0.9,0.8,0.7,0.8,0.7,0.7800000000000001
940,0.7,0.7,0.8,0.7,0.8,0.7400000000000001
942,0.9,0.9,0.7,0.9,0.85,0.85
944,0.7,0.8,0.6,0.5,0.3,0.58
945,1.0,0.9,0.7,0.85,1.0,0.8899999999999998
946,0.8,0.7,0.7,0.9,0.7,0.7599999999999999
949,1.0,0.7,0.5,0.9,0.7,0.7599999999999999
950,0.7,0.8,0.5,0.5,0.8,0.66
952,0.5,0.9,0.7,0.7,0.7,0.7000000000000001
953,0.8,0.8,1.0,0.9,0.9,0.88
954,0.6,0.7,0.9,0.9,0.6,0.7399999999999999
955,0.6,0.7,0.7,0.7,0.8,0.7000000000000001
956,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
958,0.5,0.7,0.8,0.7,0.9,0.7200000000000001
959,0.85,0.8,0.9,0.7,0.9,0.8300000000000001
960,0.7,0.7,0.7,0.7,0.9,0.7399999999999999
961,0.8,0.7,0.8,0.7,0.7,0.7400000000000001
962,0.7,0.8,0.7,0.7,0.5,0.68
963,0.8,0.7,0.7,0.7,0.5,0.68
964,0.2,0.7,0.7,1.0,0.8,0.6799999999999998
965,0.5,0.7,0.7,0.7,0.5,0.62
966,0.7,0.7,0.6,0.7,0.2,0.5800000000000001
967,0.8,0.9,0.5,0.5,0.5,0.64
968,0.7,0.9,0.85,0.9,0.9,0.85
969,1.0,0.7,0.8,0.9,0.8,0.84
970,0.9,0.9,0.7,0.5,0.7,0.7400000000000001
971,0.7,0.7,0.9,0.5,0.7,0.7000000000000001
972,0.8,0.9,0.9,1.0,0.5,0.82
973,0.5,0.7,0.7,0.5,0.7,0.62
974,0.9,0.8,0.95,0.9,0.9,0.89
975,0.7,0.7,0.7,0.7,0.8,0.7199999999999999
976,0.5,0.5,0.7,0.3,0.5,0.5
977,0.7,0.7,0.5,0.8,0.7,0.68
978,0.7,0.9,1.0,0.8,0.8,0.84
979,0.9,0.8,0.85,0.6,0.9,0.8100000000000002
980,0.7,0.9,0.8,0.8,0.8,0.7999999999999999
981,0.5,0.7,0.5,0.7,0.7,0.62
982,0.7,0.7,0.5,0.7,0.7,0.66
983,0.7,0.7,0.6,0.7,0.8,0.7000000000000001
984,0.9,0.7,0.7,0.5,0.8,0.7199999999999999
985,0.5,0.7,0.7,0.3,0.7,0.58
987,0.9,0.9,0.9,0.9,0.9,0.9
988,0.7,0.7,0.9,0.9,0.9,0.82
989,0.7,0.6,0.85,0.8,0.7,0.7300000000000001
990,0.8,1.0,0.8,0.9,1.0,0.9
991,0.7,0.8,0.7,0.8,0.7,0.7400000000000001
992,0.7,0.2,0.7,0.7,0.5,0.5599999999999999
993,0.2,0.7,0.7,0.5,0.5,0.5199999999999999
994,0.7,0.8,0.9,0.8,0.9,0.8200000000000002
995,0.9,1.0,0.7,0.9,1.0,0.9
996,0.8,0.9,1.0,0.5,0.8,0.7999999999999999
997,0.9,0.9,0.9,0.9,0.8,0.88
998,0.6,0.7,0.7,0.8,0.7,0.7000000000000001
999,0.8,0.3,0.7,0.85,1.0,0.73
